gene_id,male_mean,female_mean,difference,p_value,p_adj,gene_symbol,gene_title,gene_type
7029,0.89185935,0.8167238,0.07513553,0.05228810349397092,0.08638538459845531,TFDP2,transcription factor Dp-2,protein-coding
7030,0.17914931,0.37421182,-0.1950625,2.3837141510606383e-05,9.039196571601216e-05,TFE3,transcription factor binding to IGHM enhancer 3,protein-coding
7031,-0.39448577,-0.81873953,0.42425376,0.5116403895828527,0.597471130318974,TFF1,trefoil factor 1,protein-coding
7032,0.09731085,0.11680166,-0.019490808,0.6149149966059151,0.6933118783755003,TFF2,trefoil factor 2,protein-coding
7033,0.036932856,-0.21904457,0.25597742,2.4771856589402264e-09,2.1689449434243687e-08,TFF3,trefoil factor 3,protein-coding
7035,-0.08116414,0.17533737,-0.2565015,1.4000364641259339e-08,1.0492098812532787e-07,TFPI,tissue factor pathway inhibitor,protein-coding
7036,-0.70785177,-0.395416,-0.31243578,4.791822104504198e-15,1.2595646674696749e-13,TFR2,transferrin receptor 2,protein-coding
7037,0.34263816,0.43880472,-0.09616655,0.06972142045035179,0.11094948642209072,TFRC,transferrin receptor,protein-coding
7038,-0.04691037,-0.02442648,-0.02248389,0.4085112858436347,0.49690450240555784,TG,thyroglobulin,protein-coding
7039,0.3787672,0.4036516,-0.024884403,0.32189950478799423,0.4071383087130802,TGFA,transforming growth factor alpha,protein-coding
7040,0.68314105,0.54304844,0.14009261,0.017814595796961305,0.033694129638683484,TGFB1,transforming growth factor beta 1,protein-coding
7041,-0.9562026,-0.6888438,-0.26735884,1.2564664828395872e-07,7.716166546966497e-07,TGFB1I1,transforming growth factor beta 1 induced transcript 1,protein-coding
7042,0.2842192,0.27086696,0.013352245,0.05111271583493622,0.08469322053939432,TGFB2,transforming growth factor beta 2,protein-coding
7043,-0.015476125,-0.6020507,0.5865746,5.1960354654289114e-20,3.284960267579878e-18,TGFB3,transforming growth factor beta 3,protein-coding
7045,-0.48276705,0.101801366,-0.5845684,8.908304215684419e-37,4.392862974838301e-34,TGFBI,transforming growth factor beta induced,protein-coding
7046,0.3874547,0.23839785,0.14905684,6.313180603133772e-06,2.7127532406912912e-05,TGFBR1,transforming growth factor beta receptor 1,protein-coding
7047,0.12053037,0.23997244,-0.119442075,0.000711428414136605,0.0019170468829455881,TGM4,transglutaminase 4,protein-coding
7048,0.22953163,0.66544026,-0.43590862,4.190061977939463e-08,2.8649519724923846e-07,TGFBR2,transforming growth factor beta receptor 2,protein-coding
7049,-0.096352704,-0.16590784,0.06955514,0.08299951609262143,0.12909639596137232,TGFBR3,transforming growth factor beta receptor 3,protein-coding
705,-1.350033,-1.1451862,-0.20484686,1.7130168129744366e-05,6.72121937312185e-05,BYSL,bystin like,protein-coding
7050,-0.6301246,-0.7544694,0.124344766,0.006621054765407102,0.013974381638065187,TGIF1,TGFB induced factor homeobox 1,protein-coding
7051,-0.00523339,-0.06456997,0.059336584,0.030029224776416678,0.05333529506463979,TGM1,transglutaminase 1,protein-coding
7052,-0.36307368,-0.11627067,-0.24680302,6.773541588361708e-07,3.6149013290616076e-06,TGM2,transglutaminase 2,protein-coding
7053,0.26070818,0.20654857,0.05415961,0.06579514182070857,0.10545014409330411,TGM3,transglutaminase 3,protein-coding
7054,0.3847352,0.2513777,0.1333575,0.0002060277369432089,0.0006397758037873751,TH,tyrosine hydroxylase,protein-coding
7056,0.50682485,0.46373034,0.043094516,0.01818764115657908,0.03433648394767334,THBD,thrombomodulin,protein-coding
7057,0.012023719,-0.09054813,0.102571845,0.08617853276384731,0.13336793270307679,THBS1,thrombospondin 1,protein-coding
7058,0.17811227,0.16325365,0.014858618,0.7248304073703608,0.7858331951509812,THBS2,thrombospondin 2,protein-coding
7059,0.06072295,0.04737528,0.01334767,0.816295272526959,0.8616566589358977,THBS3,thrombospondin 3,protein-coding
706,-0.057871655,-0.35816655,0.30029488,3.810024604241577e-11,4.73965522917156e-10,TSPO,translocator protein,protein-coding
7060,-0.45563158,-0.28446496,-0.17116663,2.5350189328570434e-07,1.4762264243864728e-06,THBS4,thrombospondin 4,protein-coding
7062,-0.6944479,-0.47115198,-0.2232959,3.3330433951247003e-06,1.529205767588288e-05,TCHH,trichohyalin,protein-coding
7064,-0.5004119,-0.4364779,-0.06393403,0.3680010944857597,0.45471759976149595,THOP1,thimet oligopeptidase 1,protein-coding
7066,0.21224041,0.2959576,-0.08371718,0.163339778770193,0.23013174773473594,THPO,thrombopoietin,protein-coding
7067,1.0645471,0.9807278,0.08381927,0.3695735038636364,0.45638607188529595,THRA,thyroid hormone receptor alpha,protein-coding
7068,0.12111405,0.26899657,-0.14788252,9.888408020572301e-05,0.0003305430967397379,THRB,thyroid hormone receptor beta,protein-coding
7070,-0.05954318,0.07583926,-0.13538244,0.003973994219735797,0.008872039250435152,THY1,Thy-1 cell surface antigen,protein-coding
7071,0.5366495,0.5877952,-0.051145673,0.10115033734587643,0.15322946163676143,KLF10,Kruppel like factor 10,protein-coding
7072,-0.88786685,-0.66837096,-0.21949589,0.0004430417632032203,0.001260225855276719,TIA1,TIA1 cytotoxic granule associated RNA binding protein,protein-coding
7073,-0.47260648,-0.8638489,0.39124244,9.023382413279291e-17,3.2526391342370497e-15,TIAL1,TIA1 cytotoxic granule associated RNA binding protein like 1,protein-coding
7074,1.9291694,1.4228965,0.5062729,2.655812526948004e-13,5.12376476247496e-12,TIAM1,T cell lymphoma invasion and metastasis 1,protein-coding
7075,0.16165468,0.01846841,0.14318627,0.00023970805298219926,0.0007343739754385071,TIE1,tyrosine kinase with immunoglobulin like and EGF like domains 1,protein-coding
7076,-0.41474602,-0.29619366,-0.11855236,0.00020582549576030144,0.0006395143288497993,TIMP1,TIMP metallopeptidase inhibitor 1,protein-coding
7077,1.6067413,1.352259,0.25448227,0.008489810546611538,0.017481607552802245,TIMP2,TIMP metallopeptidase inhibitor 2,protein-coding
7078,0.4961342,0.5349417,-0.03880748,0.7383839424200257,0.797791169338657,TIMP3,TIMP metallopeptidase inhibitor 3,protein-coding
7079,0.09444762,0.10787845,-0.013430826,0.978604009204169,0.9843529883705121,TIMP4,TIMP metallopeptidase inhibitor 4,protein-coding
708,-2.0769804,-1.8555882,-0.22139215,0.002009051812228877,0.004853535320626611,C1QBP,complement C1q binding protein,protein-coding
7080,0.11687794,0.19633132,-0.07945338,0.03329239704890012,0.05844897049542021,NKX2-1,NK2 homeobox 1,protein-coding
7082,0.3359236,-0.06766657,0.40359017,2.7657914612735414e-17,1.0824341947485783e-15,TJP1,tight junction protein 1,protein-coding
7083,-0.3438758,-0.31283846,-0.03103733,0.4210807284361512,0.5091793251751713,TK1,thymidine kinase 1,protein-coding
7084,0.39670312,0.18212515,0.21457797,5.153388356422797e-07,2.8235987403546777e-06,TK2,thymidine kinase 2,protein-coding
7086,0.21251297,0.16855733,0.04395564,0.9570547746506376,0.9685921608299558,TKT,transketolase,protein-coding
