sig_id,cell_iname,donor_sex,pert_idose,pert_itime
ABY001_A549_XH:BRD-K81418486:10:3,A549,M,10 uM,3 h
LTC008_MDAMB231_3H:BRD-K81418486:10,MDAMB231,F,10 uM,3 h
RAD001_MCF7_24H:BRD-K81418486-001-18-6:10,MCF7,F,10 uM,24 h
RAD001_MCF7_24H:BRD-K81418486-001-18-6:3.3333,MCF7,F,3.33 uM,24 h
RAD001_PC3_6H:BRD-K81418486-001-18-6:0.1235,PC3,M,0.125 uM,6 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.0015,MCF7,F,0.002 uM,6 h
HOG003_A549_24H:BRD-K81418486-001-32-7:1.11,A549,M,1.11 uM,24 h
POL001_PC3_24H:O01,PC3,M,10 uM,24 h
HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.3704,MCF7,F,0.37 uM,6 h
DTAK001_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.0412,MCF7,F,0.04 uM,24 h
MOA001_U2OS_24H:P11,U2OS,F,1.11 uM,24 h
DOSBIO002_A549_24H:BRD-K81418486:1.11111,A549,M,1.11 uM,24 h
HOG003_A549_24H:BRD-K81418486-001-32-7:0.0015,A549,M,0.002 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:1.25,PC3,M,1.25 uM,24 h
POL001_HT29_24H:O05,HT29,F,0.125 uM,24 h
DEB001_PC3_24H:BRD-K81418486-001-24-4:0.2,PC3,M,0.2 uM,24 h
DOSBIO002_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
POL001_MCF7_24H:O06,MCF7,F,0.04 uM,24 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.00488281,PC3,M,0.004 uM,6 h
LTC005_MDAMB231_3H:BRD-K81418486:0.12346,MDAMB231,F,0.125 uM,3 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:0.1235,PC3,M,0.125 uM,24 h
LTC008_MDAMB231_24H:BRD-K81418486:1.1111,MDAMB231,F,1.11 uM,24 h
TAA001_SKNSH_24H:C19,SKNSH,F,10 uM,24 h
POL001_HEPG2_24H:O03,HEPG2,M,1.11 uM,24 h
POL001_JURKAT_24H:O03,JURKAT,M,1.11 uM,24 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:3.3333,PC3,M,3.33 uM,24 h
HDAC002_MCF7_6H:BRD-K81418486-001-10-3:10,MCF7,F,10 uM,6 h
MOA001_U2OS_24H:O11,U2OS,F,10 uM,24 h
HOG001_A549_24H:BRD-K81418486-001-32-7:10,A549,M,10 uM,24 h
MET001_MCF7_XH:BRD-K81418486:10:6,MCF7,F,10 uM,6 h
HDAC002_PC3_24H:BRD-K81418486-001-24-4:10,PC3,M,10 uM,24 h
ABY001_A549_XH:BRD-K81418486:0.625:24,A549,M,0.66 uM,24 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.3704,MCF7,F,0.37 uM,6 h
DEB001_PC3_6H:BRD-K81418486-001-24-4:5,PC3,M,4 uM,6 h
KMS002_NOMO1_24H:B11,NOMO1,F,10 uM,24 h
HOG002_A549_24H:BRD-K81418486-001-32-7:10,A549,M,10 uM,24 h
HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.0015,MCF7,F,0.002 uM,6 h
DOSBIO002_HT29_24H:BRD-K81418486:3.33333,HT29,F,3.33 uM,24 h
LPROT005_MCF10A_6H:BRD-K81418486:1,MCF10A,F,1.11 uM,6 h
TAA001_SKNSH_24H:N14,SKNSH,F,3.33 uM,24 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.0012207,MCF7,F,0.001 uM,24 h
LCP001_MCF10A.PIK3CA.HH_24H:N23,MCF10A,F,3.33 uM,24 h
DOSBIO001_MCF7_24H:BRD-K81418486:3.33333,MCF7,F,3.33 uM,24 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:2.5,PC3,M,2.5 uM,6 h
RAD001_HCC515_6H:BRD-K81418486-001-18-6:10,HCC515,F,10 uM,6 h
LPROT003_A375_6H:BRD-K81418486:1,A375,F,1.11 uM,6 h
BRAF001_A375_6H:BRD-K81418486-001-15-2:10,A375,F,10 uM,6 h
CPD001_MCF7_6H:B04,MCF7,F,10 uM,6 h
DEB001_MCF7_24H:BRD-K81418486-001-24-4:5,MCF7,F,4 uM,24 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:0.0046,PC3,M,0.004 uM,24 h
HOG001_MCF7_6H:BRD-K81418486-001-32-7:0.0412,MCF7,F,0.04 uM,6 h
DEB001_PC3_24H:BRD-K81418486-001-24-4:10,PC3,M,10 uM,24 h
ABY001_HT29_XH:BRD-K81418486:0.625:24,HT29,F,0.66 uM,24 h
BRAF001_A375_6H:BRD-K81418486-001-15-2:0.15625,A375,F,0.125 uM,6 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.078125,MCF7,F,0.08 uM,24 h
HOG001_A549_6H:BRD-K81418486-001-32-7:0.013,A549,M,0.01 uM,6 h
HDAC002_MCF7_6H:BRD-K81418486-001-10-3:2.5,MCF7,F,2.5 uM,6 h
HOG001_A549_6H:BRD-K81418486-001-32-7:3.33,A549,M,3.33 uM,6 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.00244141,PC3,M,0.002 uM,24 h
RAD001_PC3_6H:BRD-K81418486-001-18-6:0.0046,PC3,M,0.004 uM,6 h
HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.013,MCF7,F,0.01 uM,24 h
PCL001_A549_24H:BRD-K81418486:10,A549,M,10 uM,24 h
POL001_HEPG2_24H:O04,HEPG2,M,0.37 uM,24 h
KMS002_NOMO1_24H:B07,NOMO1,F,10 uM,24 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.0137,MCF7,F,0.01 uM,6 h
TAA001_SKNSH_24H:C22,SKNSH,F,0.37 uM,24 h
KMS002_NOMO1_24H:B09,NOMO1,F,10 uM,24 h
HOG003_A549_24H:BRD-K81418486-001-32-7:0.0412,A549,M,0.04 uM,24 h
ABY001_A375_XH:BRD-K81418486:10:24,A375,F,10 uM,24 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:10,MCF7,F,10 uM,24 h
HOG003_A549_6H:BRD-K81418486-001-32-7:1.11,A549,M,1.11 uM,6 h
RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.0015,HCC515,F,0.002 uM,6 h
ABY001_NCIH1975_XH:BRD-K81418486:10:24,NCIH1975,F,10 uM,24 h
TAA001_SKNSH_24H:N15,SKNSH,F,1.11 uM,24 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.0046,MCF7,F,0.004 uM,6 h
POL001_HEPG2_24H:O02,HEPG2,M,3.33 uM,24 h
DEB001_PC3_6H:BRD-K81418486-001-24-4:1,PC3,M,1.11 uM,6 h
ABY001_A549_XH:BRD-K81418486:10:24,A549,M,10 uM,24 h
ABY001_HT29_XH:BRD-K81418486:2.5:3,HT29,F,2.5 uM,3 h
LTC007_MDAMB231_24H:BRD-K81418486:10,MDAMB231,F,10 uM,24 h
RAD001_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
LCP001_MCF10A.WT_6H:N22,MCF10A,F,10 uM,6 h
HOG001_MCF7_24H:BRD-K81418486-001-32-7:0.013,MCF7,F,0.01 uM,24 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.0390625,MCF7,F,0.04 uM,24 h
ABY001_HT29_XH:BRD-K81418486:10:3,HT29,F,10 uM,3 h
HOG001_A549_24H:BRD-K81418486-001-32-7:3.33,A549,M,3.33 uM,24 h
LCP001_MCF10A.WT_12H:N24,MCF10A,F,1.11 uM,12 h
LTC007_MDAMB231_3H:BRD-K81418486:10,MDAMB231,F,10 uM,3 h
LTC008_MDAMB231_3H:BRD-K81418486:0.12346,MDAMB231,F,0.125 uM,3 h
PRISM001_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:3.3333,MCF7,F,3.33 uM,6 h
HOG001_MCF7_6H:BRD-K81418486-001-32-7:0.3704,MCF7,F,0.37 uM,6 h
HOG001_A549_6H:BRD-K81418486-001-32-7:0.0412,A549,M,0.04 uM,6 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.15625,PC3,M,0.125 uM,6 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.00976562,PC3,M,0.01 uM,6 h
LCP001_MCF10A.KRAS.HG_24H:N23,MCF10A,F,3.33 uM,24 h
DTAK002_VCAP_24H:BRD-K81418486:10,VCAP,M,10 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.00488281,PC3,M,0.004 uM,24 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:0.3704,PC3,M,0.37 uM,24 h
PRISM001_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
PCL001_A375_24H:BRD-K81418486:10,A375,F,10 uM,24 h
HOG002_A549_6H:BRD-K81418486-001-32-7:10,A549,M,10 uM,6 h
LCP001_MCF10A.WT_3H:N22,MCF10A,F,10 uM,3 h
HOG003_A549_24H:BRD-K81418486-001-32-7:0.1235,A549,M,0.125 uM,24 h
TAA001_SHSY5Y_24H:N15,SHSY5Y,F,1.11 uM,24 h
ABY001_A375_XH:BRD-K81418486:10:3,A375,F,10 uM,3 h
ABY001_HEPG2_XH:BRD-K81418486:0.625:3,HEPG2,M,0.66 uM,3 h
ABY001_NCIH596_XH:BRD-K81418486:10:3,NCIH596,M,10 uM,3 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.3125,PC3,M,0.3 uM,24 h
HOG002_A549_6H:BRD-K81418486-001-32-7:0.3704,A549,M,0.37 uM,6 h
POL001_PC3_24H:O04,PC3,M,0.37 uM,24 h
POL001_MCF7_24H:O04,MCF7,F,0.37 uM,24 h
MET001_MCF7_XH:BRD-K81418486:10:24,MCF7,F,10 uM,24 h
ABY001_SUDHL4_XH:BRD-K81418486:10:3,SUDHL4,M,10 uM,3 h
CPD003_PC3_6H:B04,PC3,M,10 uM,6 h
HOG003_MCF7_24H:BRD-K81418486-001-32-7:3.33,MCF7,F,3.33 uM,24 h
HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.0045,MCF7,F,0.004 uM,24 h
HOG001_MCF7_6H:BRD-K81418486-001-32-7:0.013,MCF7,F,0.01 uM,6 h
DOSBIO001_A549_24H:BRD-K81418486:1.11111,A549,M,1.11 uM,24 h
POL001_JURKAT_24H:O04,JURKAT,M,0.37 uM,24 h
DOSBIO002_A375_24H:BRD-K81418486:1.11111,A375,F,1.11 uM,24 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:0.0412,PC3,M,0.04 uM,24 h
ABY001_HEPG2_XH:BRD-K81418486:10:24,HEPG2,M,10 uM,24 h
ABY001_NCIH508_XH:BRD-K81418486:10:3,NCIH508,M,10 uM,3 h
RAD001_MCF7_24H:BRD-K81418486-001-18-6:0.3704,MCF7,F,0.37 uM,24 h
HOG001_A549_24H:BRD-K81418486-001-32-7:1.11,A549,M,1.11 uM,24 h
HOG002_A549_24H:BRD-K81418486-001-32-7:3.33,A549,M,3.33 uM,24 h
RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.1235,HCC515,F,0.125 uM,6 h
DEB001_PC3_24H:BRD-K81418486-001-24-4:0.1,PC3,M,0.12 uM,24 h
ABY001_A375_XH:BRD-K81418486:0.625:3,A375,F,0.66 uM,3 h
ABY001_HT29_XH:BRD-K81418486:2.5:24,HT29,F,2.5 uM,24 h
LTC006_MDAMB231_3H:BRD-K81418486:3.3333,MDAMB231,F,3.33 uM,3 h
ABY001_SUDHL4_XH:BRD-K81418486:2.5:24,SUDHL4,M,2.5 uM,24 h
HOG001_A549_6H:BRD-K81418486-001-32-7:10,A549,M,10 uM,6 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.3125,MCF7,F,0.3 uM,24 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:1.1111,MCF7,F,1.11 uM,6 h
HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.3704,MCF7,F,0.37 uM,6 h
POL001_PC3_24H:O02,PC3,M,3.33 uM,24 h
MOA001_A549_24H:O11,A549,M,10 uM,24 h
BRAF001_A375_24H:BRD-K81418486-001-15-2:2.5,A375,F,2.5 uM,24 h
DOSBIO001_A549_24H:BRD-K81418486:3.33333,A549,M,3.33 uM,24 h
RAD001_A549_6H:BRD-K81418486-001-18-6:0.1235,A549,M,0.125 uM,6 h
HOG001_A549_6H:BRD-K81418486-001-32-7:0.1235,A549,M,0.125 uM,6 h
HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.0045,MCF7,F,0.004 uM,24 h
HOG003_A549_6H:BRD-K81418486-001-32-7:0.0412,A549,M,0.04 uM,6 h
DOSBIO002_HT29_24H:BRD-K81418486:10,HT29,F,10 uM,24 h
DTAK003_VCAP_24H:BRD-K81418486:10,VCAP,M,10 uM,24 h
HOG002_MCF7_6H:BRD-K81418486-001-32-7:3.33,MCF7,F,3.33 uM,6 h
HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.3704,MCF7,F,0.37 uM,24 h
KMS002_NOMO1_24H:B05,NOMO1,F,10 uM,24 h
DOSBIO002_A549_24H:BRD-K81418486:3.33333,A549,M,3.33 uM,24 h
POL001_HT29_24H:O06,HT29,F,0.04 uM,24 h
CPD002_MCF7_6H:BRD-K81418486:10,MCF7,F,10 uM,6 h
POL001_HT29_24H:O04,HT29,F,0.37 uM,24 h
DEB001_PC3_24H:BRD-K81418486-001-24-4:1,PC3,M,1.11 uM,24 h
LTC005_MDAMB231_3H:BRD-K81418486:1.1111,MDAMB231,F,1.11 uM,3 h
HDAC002_MCF7_6H:BRD-K81418486-001-24-4:10,MCF7,F,10 uM,6 h
HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.1235,MCF7,F,0.125 uM,24 h
TAA001_SKNSH_24H:C21,SKNSH,F,1.11 uM,24 h
HOG002_A549_6H:BRD-K81418486-001-32-7:0.013,A549,M,0.01 uM,6 h
DOSBIO002_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
HOG001_A549_24H:BRD-K81418486-001-32-7:0.013,A549,M,0.01 uM,24 h
HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.0412,MCF7,F,0.04 uM,6 h
MOA001_A549_24H:P11,A549,M,1.11 uM,24 h
ABY001_PC3_XH:BRD-K81418486:10:24,PC3,M,10 uM,24 h
LTC005_MDAMB231_24H:BRD-K81418486:0.12346,MDAMB231,F,0.125 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.0012207,PC3,M,0.001 uM,24 h
HOG001_A549_6H:BRD-K81418486-001-32-7:1.11,A549,M,1.11 uM,6 h
HDAC001_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
CPD002_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
RAD001_A549_6H:BRD-K81418486-001-18-6:3.3333,A549,M,3.33 uM,6 h
HDAC002_MCF7_6H:BRD-K81418486-001-10-3:0.00976562,MCF7,F,0.01 uM,6 h
HDAC001_MCF7_24H:BRD-K81418486:10,MCF7,F,10 uM,24 h
POL001_MCF7_24H:O01,MCF7,F,10 uM,24 h
CPD002_PC3_6H:BRD-K81418486:10,PC3,M,10 uM,6 h
LPROT001_PC3_6H:BRD-K81418486:1,PC3,M,1.11 uM,6 h
ABY001_NCIH596_XH:BRD-K81418486:2.5:24,NCIH596,M,2.5 uM,24 h
ABY001_HT29_XH:BRD-K81418486:0.625:3,HT29,F,0.66 uM,3 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:2.5,MCF7,F,2.5 uM,24 h
DOSBIO001_PC3_24H:BRD-K81418486:0.37037,PC3,M,0.37 uM,24 h
DOSBIO002_HT29_24H:BRD-K81418486:0.37037,HT29,F,0.37 uM,24 h
DOSBIO001_HT29_24H:BRD-K81418486:10,HT29,F,10 uM,24 h
LCP001_MCF10A.WT_3H:N24,MCF10A,F,1.11 uM,3 h
KMS002_NOMO1_24H:B10,NOMO1,F,10 uM,24 h
LPROT005_PC3_6H:BRD-K81418486:1,PC3,M,1.11 uM,6 h
LTC008_MDAMB231_3H:BRD-K81418486:0.37037,MDAMB231,F,0.37 uM,3 h
LTC006_MDAMB231_24H:BRD-K81418486:0.12346,MDAMB231,F,0.125 uM,24 h
BRAF001_A375_24H:BRD-K81418486-001-15-2:10,A375,F,10 uM,24 h
DOSBIO001_MCF7_24H:BRD-K81418486:0.37037,MCF7,F,0.37 uM,24 h
KMS002_NOMO1_24H:B06,NOMO1,F,10 uM,24 h
HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.0015,MCF7,F,0.002 uM,24 h
HOG003_A549_24H:BRD-K81418486-001-32-7:0.013,A549,M,0.01 uM,24 h
POL001_MCF7_24H:O02,MCF7,F,3.33 uM,24 h
RAD001_HCC515_6H:BRD-K81418486-001-18-6:1.1111,HCC515,F,1.11 uM,6 h
TAA001_SHSY5Y_24H:C22,SHSY5Y,F,0.37 uM,24 h
LPROT002_A549_6H:BRD-K81418486:1,A549,M,1.11 uM,6 h
PRISM001_PC3_6H:BRD-K81418486:10,PC3,M,10 uM,6 h
CPD003_MCF7_6H:BRD-K81418486-001-26-9:10,MCF7,F,10 uM,6 h
HOG001_MCF7_24H:BRD-K81418486-001-32-7:0.3704,MCF7,F,0.37 uM,24 h
HOG001_A549_24H:BRD-K81418486-001-32-7:0.0045,A549,M,0.004 uM,24 h
HOG002_A549_24H:BRD-K81418486-001-32-7:0.0412,A549,M,0.04 uM,24 h
DOSBIO002_A549_24H:BRD-K81418486:0.37037,A549,M,0.37 uM,24 h
POL001_JURKAT_24H:O01,JURKAT,M,10 uM,24 h
ABY001_SKBR3_XH:BRD-K81418486:10:3,SKBR3,F,10 uM,3 h
DTAK003_22RV1_24H:BRD-K81418486:10,22RV1,M,10 uM,24 h
HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.013,MCF7,F,0.01 uM,6 h
TAA001_SKNSH_24H:C23,SKNSH,F,0.125 uM,24 h
RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.3704,HCC515,F,0.37 uM,6 h
LCP001_MCF10A.WT_24H:N24,MCF10A,F,1.11 uM,24 h
RAD001_A549_6H:BRD-K81418486-001-18-6:1.1111,A549,M,1.11 uM,6 h
HOG002_A549_6H:BRD-K81418486-001-32-7:0.0045,A549,M,0.004 uM,6 h
HOG001_A549_6H:BRD-K81418486-001-32-7:0.0015,A549,M,0.002 uM,6 h
RAD001_PC3_6H:BRD-K81418486-001-18-6:10,PC3,M,10 uM,6 h
HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.1235,MCF7,F,0.125 uM,6 h
HOG001_A549_24H:BRD-K81418486-001-32-7:0.3704,A549,M,0.37 uM,24 h
HOG002_A549_24H:BRD-K81418486-001-32-7:1.11,A549,M,1.11 uM,24 h
DOSBIO001_HT29_24H:BRD-K81418486:1.11111,HT29,F,1.11 uM,24 h
ABY001_SKBR3_XH:BRD-K81418486:0.625:24,SKBR3,F,0.66 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.0390625,PC3,M,0.04 uM,24 h
HOG001_MCF7_24H:BRD-K81418486-001-32-7:0.0015,MCF7,F,0.002 uM,24 h
HOG002_A549_6H:BRD-K81418486-001-32-7:1.11,A549,M,1.11 uM,6 h
HOG002_A549_24H:BRD-K81418486-001-32-7:0.3704,A549,M,0.37 uM,24 h
DOSBIO001_HT29_24H:BRD-K81418486:0.37037,HT29,F,0.37 uM,24 h
DOSBIO002_MCF7_24H:BRD-K81418486:1.11111,MCF7,F,1.11 uM,24 h
HDAC001_PC3_6H:BRD-K81418486:10,PC3,M,10 uM,6 h
DOSBIO001_A549_24H:BRD-K81418486:0.37037,A549,M,0.37 uM,24 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:10,PC3,M,10 uM,6 h
ABY001_PC3_XH:BRD-K81418486:2.5:24,PC3,M,2.5 uM,24 h
ABY001_NCIH596_XH:BRD-K81418486:2.5:3,NCIH596,M,2.5 uM,3 h
LTC006_MDAMB231_3H:BRD-K81418486:0.12346,MDAMB231,F,0.125 uM,3 h
LTC006_MDAMB231_24H:BRD-K81418486:0.37037,MDAMB231,F,0.37 uM,24 h
TAA001_SHSY5Y_24H:N14,SHSY5Y,F,3.33 uM,24 h
ABY001_A375_XH:BRD-K81418486:0.625:24,A375,F,0.66 uM,24 h
LPROT002_MCF7_6H:BRD-K81418486:1,MCF7,F,1.11 uM,6 h
LTC007_MDAMB231_3H:BRD-K81418486:0.37037,MDAMB231,F,0.37 uM,3 h
ABY001_NCIH1975_XH:BRD-K81418486:0.625:24,NCIH1975,F,0.66 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.078125,PC3,M,0.08 uM,24 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.0195312,MCF7,F,0.02 uM,24 h
HDAC002_MCF7_6H:BRD-K81418486-001-10-3:0.3125,MCF7,F,0.3 uM,6 h
LCP001_MCF10A.WT_6H:N23,MCF10A,F,3.33 uM,6 h
HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.013,MCF7,F,0.01 uM,24 h
HDAC002_MCF7_24H:BRD-K81418486-001-10-3:0.00488281,MCF7,F,0.004 uM,24 h
HOG003_A549_6H:BRD-K81418486-001-32-7:0.3704,A549,M,0.37 uM,6 h
DOSBIO002_PC3_24H:BRD-K81418486:3.33333,PC3,M,3.33 uM,24 h
LCP001_MCF10A.WT_24H:N23,MCF10A,F,3.33 uM,24 h
DEB001_MCF7_24H:BRD-K81418486-001-24-4:1,MCF7,F,1.11 uM,24 h
ABY001_HEPG2_XH:BRD-K81418486:2.5:24,HEPG2,M,2.5 uM,24 h
LPROT004_YAPC_6H:BRD-K81418486:1,YAPC,M,1.11 uM,6 h
DTAK001_DU145_24H:BRD-K81418486:10,DU145,M,10 uM,24 h
RAD001_PC3_6H:BRD-K81418486-001-18-6:0.0015,PC3,M,0.002 uM,6 h
CVD001_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
HOG002_MCF7_24H:BRD-K81418486-001-32-7:0.0015,MCF7,F,0.002 uM,24 h
POL001_HEPG2_24H:O06,HEPG2,M,0.04 uM,24 h
HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.013,MCF7,F,0.01 uM,6 h
DEB001_MCF7_24H:BRD-K81418486-001-24-4:0.1,MCF7,F,0.12 uM,24 h
DOSBIO002_HT29_24H:BRD-K81418486:1.11111,HT29,F,1.11 uM,24 h
POL001_HT29_24H:O02,HT29,F,3.33 uM,24 h
HOG001_MCF7_6H:BRD-K81418486-001-32-7:1.11,MCF7,F,1.11 uM,6 h
PCL001_HEPG2_24H:BRD-K81418486:10,HEPG2,M,10 uM,24 h
TAA001_SHSY5Y_24H:N18,SHSY5Y,F,0.04 uM,24 h
LCP001_MCF10A.WT_3H:N23,MCF10A,F,3.33 uM,3 h
DEB001_PC3_24H:BRD-K81418486-001-24-4:5,PC3,M,4 uM,24 h
LPROT002_A375_6H:BRD-K81418486:1,A375,F,1.11 uM,6 h
LPROT003_A549_6H:BRD-K81418486:1,A549,M,1.11 uM,6 h
ABY001_NCIH1975_XH:BRD-K81418486:0.625:3,NCIH1975,F,0.66 uM,3 h
MOA001_A549_24H:P12,A549,M,0.37 uM,24 h
RAD001_PC3_6H:BRD-K81418486-001-18-6:0.3704,PC3,M,0.37 uM,6 h
HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.0015,MCF7,F,0.002 uM,6 h
DEB001_PC3_6H:BRD-K81418486-001-24-4:0.2,PC3,M,0.2 uM,6 h
RAD001_A549_6H:BRD-K81418486-001-18-6:0.3704,A549,M,0.37 uM,6 h
POL001_HT29_24H:O01,HT29,F,10 uM,24 h
HDAC002_PC3_6H:BRD-K81418486-001-10-3:0.078125,PC3,M,0.08 uM,6 h
LTC008_MDAMB231_24H:BRD-K81418486:3.3333,MDAMB231,F,3.33 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.0195312,PC3,M,0.02 uM,24 h
HOG001_A549_6H:BRD-K81418486-001-32-7:0.0045,A549,M,0.004 uM,6 h
RAD001_MCF7_6H:BRD-K81418486-001-18-6:0.1235,MCF7,F,0.125 uM,6 h
HOG002_MCF7_6H:BRD-K81418486-001-32-7:0.0045,MCF7,F,0.004 uM,6 h
MOA001_U2OS_24H:P12,U2OS,F,0.37 uM,24 h
KMS002_NOMO1_24H:B04,NOMO1,F,10 uM,24 h
KMS002_THP1_24H:BRD-K81418486-001-01-2:9.99,THP1,M,10 uM,24 h
ABY001_PC3_XH:BRD-K81418486:0.625:3,PC3,M,0.66 uM,3 h
LTC005_MDAMB231_24H:BRD-K81418486:0.37037,MDAMB231,F,0.37 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:0.00976562,PC3,M,0.01 uM,24 h
HDAC002_PC3_24H:BRD-K81418486-001-10-3:10,PC3,M,10 uM,24 h
PRISM001_A375_6H:BRD-K81418486:10,A375,F,10 uM,6 h
RAD001_MCF7_24H:BRD-K81418486-001-18-6:0.0137,MCF7,F,0.01 uM,24 h
HOG003_A549_6H:BRD-K81418486-001-32-7:10,A549,M,10 uM,6 h
HOG003_A549_6H:BRD-K81418486-001-32-7:0.1235,A549,M,0.125 uM,6 h
KMS002_NOMO1_24H:B08,NOMO1,F,10 uM,24 h
RAD001_HCC515_6H:BRD-K81418486-001-18-6:0.0046,HCC515,F,0.004 uM,6 h
TAA001_SHSY5Y_24H:C20,SHSY5Y,F,3.33 uM,24 h
LTC008_MDAMB231_24H:BRD-K81418486:10,MDAMB231,F,10 uM,24 h
ABY001_NCIH1975_XH:BRD-K81418486:10:3,NCIH1975,F,10 uM,3 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:0.0137,PC3,M,0.01 uM,24 h
HOG002_A549_24H:BRD-K81418486-001-32-7:0.0045,A549,M,0.004 uM,24 h
LCP001_MCF10A.WT_12H:N23,MCF10A,F,3.33 uM,12 h
DOSBIO001_HT29_24H:BRD-K81418486:3.33333,HT29,F,3.33 uM,24 h
DTAK002_DU145_24H:BRD-K81418486:10,DU145,M,10 uM,24 h
ABY001_HEPG2_XH:BRD-K81418486:2.5:3,HEPG2,M,2.5 uM,3 h
HOG001_MCF7_6H:BRD-K81418486-001-32-7:10,MCF7,F,10 uM,6 h
DEB001_PC3_6H:BRD-K81418486-001-24-4:0.1,PC3,M,0.12 uM,6 h
TAA001_SHSY5Y_24H:N17,SHSY5Y,F,0.125 uM,24 h
PCL001_PC3_24H:BRD-K81418486:10,PC3,M,10 uM,24 h
LPROT005_MCF10A_6H:BRD-K81418486:3.16,MCF10A,F,3.33 uM,6 h
HOG003_MCF7_24H:BRD-K81418486-001-32-7:0.1235,MCF7,F,0.125 uM,24 h
TAA001_SHSY5Y_24H:N16,SHSY5Y,F,0.37 uM,24 h
DEB001_MCF7_6H:BRD-K81418486-001-24-4:0.2,MCF7,F,0.2 uM,6 h
CPD003_MCF7_24H:F22,MCF7,F,10 uM,24 h
HOG003_MCF7_6H:BRD-K81418486-001-32-7:0.0412,MCF7,F,0.04 uM,6 h
LCP001_MCF10A.KRAS.HG_24H:N24,MCF10A,F,1.11 uM,24 h
HDAC002_MCF7_6H:BRD-K81418486-001-10-3:0.0390625,MCF7,F,0.04 uM,6 h
RAD001_PC3_24H:BRD-K81418486-001-18-6:0.0015,PC3,M,0.002 uM,24 h
LCP001_MCF10A.PIK3CA.HH_24H:N22,MCF10A,F,10 uM,24 h
DOSBIO001_A375_24H:BRD-K81418486:1.11111,A375,F,1.11 uM,24 h
